mission_waypoint_id,arrived_from_segment_id,next_segment_id,visit_order,polygon_id,segment_type_to_next,spray_on_to_next,longitude,latitude
1,,1.0000000000,1,9,spray,True,12.3114713645,54.1759777231
2,1.0000000000,2.0000000000,1,9,turn,False,12.3115725248,54.1759799826
3,2.0000000000,3.0000000000,1,9,spray,True,12.3115805189,54.1759922987
4,3.0000000000,4.0000000000,1,9,turn,False,12.3114474663,54.1759893268
5,4.0000000000,5.0000000000,1,9,spray,True,12.3114235681,54.1760009306
6,5.0000000000,6.0000000000,1,9,turn,False,12.3115885129,54.1760046148
7,6.0000000000,7.0000000000,1,9,spray,True,12.3120697612,54.1760153627
8,7.0000000000,8.0000000000,1,9,turn,False,12.3121577037,54.1760173266
9,8.0000000000,9.0000000000,1,9,spray,True,12.3121725757,54.1760297962
10,9.0000000000,10.0000000000,1,9,turn,False,12.3120503399,54.1760270665
11,10.0000000000,11.0000000000,1,9,spray,True,12.3115965070,54.1760169309
12,11.0000000000,12.0000000000,1,9,turn,False,12.3113996699,54.1760125343
13,12.0000000000,13.0000000000,1,9,spray,True,12.3113842997,54.1760243285
14,13.0000000000,14.0000000000,1,9,turn,False,12.3116045011,54.1760292470
15,14.0000000000,15.0000000000,1,9,spray,True,12.3120309186,54.1760387704
16,15.0000000000,16.0000000000,1,9,turn,False,12.3121874477,54.1760422658
17,16.0000000000,17.0000000000,1,9,spray,True,12.3122023197,54.1760547355
18,17.0000000000,18.0000000000,1,9,turn,False,12.3119902111,54.1760499988
19,18.0000000000,19.0000000000,1,9,spray,True,12.3116124952,54.1760415630
20,19.0000000000,20.0000000000,1,9,turn,False,12.3113909786,54.1760366152
21,20.0000000000,21.0000000000,1,9,spray,True,12.3113976575,54.1760489019
22,21.0000000000,22.0000000000,1,9,turn,False,12.3116508523,54.1760545573
23,22.0000000000,23.0000000000,1,9,spray,True,12.3119396866,54.1760610080
24,23.0000000000,24.0000000000,1,9,turn,False,12.3122171917,54.1760672051
25,24.0000000000,25.0000000000,1,9,spray,True,12.3122320637,54.1760796747
26,25.0000000000,26.0000000000,1,9,turn,False,12.3118258805,54.1760706039
27,26.0000000000,27.0000000000,1,9,spray,True,12.3116928983,54.1760676339
28,27.0000000000,28.0000000000,1,9,turn,False,12.3114043363,54.1760611887
29,28.0000000000,29.0000000000,1,9,spray,True,12.3114110152,54.1760734754
30,29.0000000000,30.0000000000,1,9,turn,False,12.3122394903,54.1760919781
