waypoint_id,segment_id,visit_order,polygon_id,segment_type,spray_on,point_role,longitude,latitude
1,1,1,9,spray,True,start,12.3114713645,54.1759777231
2,1,1,9,spray,True,end,12.3115725248,54.1759799826
3,2,1,9,turn,False,start,12.3115725248,54.1759799826
4,2,1,9,turn,False,end,12.3115805189,54.1759922987
5,3,1,9,spray,True,start,12.3115805189,54.1759922987
6,3,1,9,spray,True,end,12.3114474663,54.1759893268
7,4,1,9,turn,False,start,12.3114474663,54.1759893268
8,4,1,9,turn,False,end,12.3114235681,54.1760009306
9,5,1,9,spray,True,start,12.3114235681,54.1760009306
10,5,1,9,spray,True,end,12.3115885129,54.1760046148
11,6,1,9,turn,False,start,12.3115885129,54.1760046148
12,6,1,9,turn,False,end,12.3120697612,54.1760153627
13,7,1,9,spray,True,start,12.3120697612,54.1760153627
14,7,1,9,spray,True,end,12.3121577037,54.1760173266
15,8,1,9,turn,False,start,12.3121577037,54.1760173266
16,8,1,9,turn,False,end,12.3121725757,54.1760297962
17,9,1,9,spray,True,start,12.3121725757,54.1760297962
18,9,1,9,spray,True,end,12.3120503399,54.1760270665
19,10,1,9,turn,False,start,12.3120503399,54.1760270665
20,10,1,9,turn,False,end,12.3115965070,54.1760169309
21,11,1,9,spray,True,start,12.3115965070,54.1760169309
22,11,1,9,spray,True,end,12.3113996699,54.1760125343
23,12,1,9,turn,False,start,12.3113996699,54.1760125343
24,12,1,9,turn,False,end,12.3113842997,54.1760243285
25,13,1,9,spray,True,start,12.3113842997,54.1760243285
26,13,1,9,spray,True,end,12.3116045011,54.1760292470
27,14,1,9,turn,False,start,12.3116045011,54.1760292470
28,14,1,9,turn,False,end,12.3120309186,54.1760387704
29,15,1,9,spray,True,start,12.3120309186,54.1760387704
30,15,1,9,spray,True,end,12.3121874477,54.1760422658
31,16,1,9,turn,False,start,12.3121874477,54.1760422658
32,16,1,9,turn,False,end,12.3122023197,54.1760547355
33,17,1,9,spray,True,start,12.3122023197,54.1760547355
34,17,1,9,spray,True,end,12.3119902111,54.1760499988
35,18,1,9,turn,False,start,12.3119902111,54.1760499988
36,18,1,9,turn,False,end,12.3116124952,54.1760415630
37,19,1,9,spray,True,start,12.3116124952,54.1760415630
38,19,1,9,spray,True,end,12.3113909786,54.1760366152
39,20,1,9,turn,False,start,12.3113909786,54.1760366152
40,20,1,9,turn,False,end,12.3113976575,54.1760489019
41,21,1,9,spray,True,start,12.3113976575,54.1760489019
42,21,1,9,spray,True,end,12.3116508523,54.1760545573
43,22,1,9,turn,False,start,12.3116508523,54.1760545573
44,22,1,9,turn,False,end,12.3119396866,54.1760610080
45,23,1,9,spray,True,start,12.3119396866,54.1760610080
46,23,1,9,spray,True,end,12.3122171917,54.1760672051
47,24,1,9,turn,False,start,12.3122171917,54.1760672051
48,24,1,9,turn,False,end,12.3122320637,54.1760796747
49,25,1,9,spray,True,start,12.3122320637,54.1760796747
50,25,1,9,spray,True,end,12.3118258805,54.1760706039
51,26,1,9,turn,False,start,12.3118258805,54.1760706039
52,26,1,9,turn,False,end,12.3116928983,54.1760676339
53,27,1,9,spray,True,start,12.3116928983,54.1760676339
54,27,1,9,spray,True,end,12.3114043363,54.1760611887
55,28,1,9,turn,False,start,12.3114043363,54.1760611887
56,28,1,9,turn,False,end,12.3114110152,54.1760734754
57,29,1,9,spray,True,start,12.3114110152,54.1760734754
58,29,1,9,spray,True,end,12.3122394903,54.1760919781
59,30,1,9,turn,False,start,12.3122394903,54.1760919781
60,30,1,9,turn,False,end,12.3122398646,54.1761041240
61,31,1,9,spray,True,start,12.3122398646,54.1761041240
62,31,1,9,spray,True,end,12.3114176941,54.1760857621
63,32,1,9,turn,False,start,12.3114176941,54.1760857621
64,32,1,9,turn,False,end,12.3114243730,54.1760980488
65,33,1,9,spray,True,start,12.3114243730,54.1760980488
66,33,1,9,spray,True,end,12.3122402389,54.1761162699
67,34,1,9,turn,False,start,12.3122402389,54.1761162699
68,34,1,9,turn,False,end,12.3122406133,54.1761284158
69,35,1,9,spray,True,start,12.3122406133,54.1761284158
70,35,1,9,spray,True,end,12.3114310519,54.1761103355
71,36,1,9,turn,False,start,12.3114310519,54.1761103355
72,36,1,9,turn,False,end,12.3114278112,54.1761224007
73,37,1,9,spray,True,start,12.3114278112,54.1761224007
74,37,1,9,spray,True,end,12.3122409876,54.1761405617
75,38,1,9,turn,False,start,12.3122409876,54.1761405617
76,38,1,9,turn,False,end,12.3122413619,54.1761527076
77,39,1,9,spray,True,start,12.3122413619,54.1761527076
78,39,1,9,spray,True,end,12.3114107545,54.1761341572
79,40,1,9,turn,False,start,12.3114107545,54.1761341572
80,40,1,9,turn,False,end,12.3113936978,54.1761459138
81,41,1,9,spray,True,start,12.3113936978,54.1761459138
82,41,1,9,spray,True,end,12.3122383931,54.1761647788
83,42,1,9,turn,False,start,12.3122383931,54.1761647788
84,42,1,9,turn,False,end,12.3122334971,54.1761768070
85,43,1,9,spray,True,start,12.3122334971,54.1761768070
