visit_order,polygon_id,direction,line_count,spray_length_m,transition_distance_m,cumulative_transition_m,entry_x,entry_y,exit_x,exit_y
1,9,forward,50,2274.1256900882,86.86341280602088,86.86341280602088,324532.5344387613,6006440.321028503,324548.4950453543,6006494.321028503
2,10,reverse,16,177.24782632268034,68.89634405188674,155.75975685790763,324581.2514690542,6006433.709784248,324581.67541762645,6006413.459784248
3,8,forward,34,780.2427702698042,143.48571978536634,299.24547664327395,324721.6962779002,6006444.801616845,324746.4969528134,6006475.851616845
4,11,reverse,38,426.82850453897845,115.09221303460808,414.33768967788205,324835.40560511366,6006402.766262311,324837.6134087087,6006352.81626231
5,12,reverse,11,138.19317085819785,19.202312205436616,433.54000188331867,324824.2619434033,6006339.015277989,324816.6665860668,6006325.515277989
6,13,reverse,30,384.67513209284516,32.53317078531492,466.07317266863356,324822.33732321014,6006293.480141941,324833.5387708416,6006262.430141942
7,15,reverse,12,135.74521987407934,120.03035172606508,586.1035243946986,324771.56336948526,6006159.637462425,324771.90372037527,6006144.787462425
8,16,reverse,22,335.27742451732047,37.842103676147254,623.9456280708459,324755.02521029074,6006110.917996708,324754.07605070685,6006082.567996709
9,17,forward,17,205.44217404839583,150.89794973300997,774.8435778038559,324614.70614419365,6006024.721472248,324603.7091166132,6006046.321472249
10,18,forward,43,689.2193650820409,42.417080910270414,817.2606587141263,324568.45568811096,6006022.733243579,324570.33769992995,6006079.433243579
11,14,forward,33,1169.0576718226075,179.08006533602423,996.3407240501506,324678.2103335784,6006222.377864711,324709.0896784531,6006265.577864711
12,7,forward,54,1917.4771358637372,298.2376941057162,1294.5784181558668,324939.34538496984,6006455.124776588,324963.6074929365,6006509.124776588
13,6,forward,15,232.67332731949864,63.22284806847334,1357.80126622434,325011.38701947406,6006550.528222842,325005.1212546625,6006569.4282228425
14,1,forward,12,136.2470445013023,222.8275684987439,1580.6288347230839,324800.234362061,6006657.026661888,324792.9144606462,6006671.876661887
15,2,reverse,25,412.2794392420328,75.82789524706173,1656.4567299701455,324725.65034470323,6006636.870828031,324731.9604201802,6006604.47082803
16,3,reverse,18,361.89566777588334,43.96613372017964,1700.4228636903251,324691.0609702109,6006620.603276899,324688.48956093506,6006597.653276899
17,4,reverse,20,347.89830912835896,32.278219357068245,1732.7010830473935,324656.67432794836,6006592.205855962,324659.17342301435,6006566.5558559615
18,5,reverse,18,290.7108856639825,160.10002068949152,1892.801103736885,324499.4525855867,6006577.568154368,324493.3181911937,6006554.618154367
